GMIFC,TYPE,PRODTYP,PROMPT,DESC,LONGDESC,SPANCOMM,CFTCFC,Concat,Category
EK,O, , ,CME METWEDW5O ,CME MICRO ETHER WEDNESDAY WEEK5 OPTION  ,V5C       ,V5C  ,9C/EK/O,Micro
EL,O, , ,CME METFRIW1O ,CME MICRO ETHER FRIDAY WEEK1 OPTION     ,V1E       ,V1E  ,9C/EL/O,Micro
EM,O, , ,CME METFRIW2O ,CME MICRO ETHER FRIDAY WEEK2 OPTION     ,V2E       ,V2E  ,9C/EM/O,Micro
EN,O, , ,CME METFRIW3O ,CME MICRO ETHER FRIDAY WEEK3 OPTION     ,V3E       ,V3E  ,9C/EN/O,Micro
EO,O, , ,CME METFRIW4O ,CME MICRO ETHER FRIDAY WEEK4 OPTION     ,V4E       ,V4E  ,9C/EO/O,Micro
ET,O, , ,CME MET OPT   ,CME MICRO ETHER OPTION                  ,VM        ,VM   ,9C/ET/O,Micro
GA,O, , ,CME MS&PMONW1 ,CME MICRO E-MINI S&P 500 MONDAY WK1 O   ,X1A       ,X1A  ,9C/GA/O,Micro
GB,O, , ,CME MS&PMONW2 ,CME MICRO E-MINI S&P 500 MONDAY WK2 O   ,X2A       ,X2A  ,9C/GB/O,Micro
GC,O, , ,CME MS&PMONW3 ,CME MICRO E-MINI S&P 500 MONDAY WK3 O   ,X3A       ,X3A  ,9C/GC/O,Micro
GN,O, , ,CME MS&PMONW4 ,CME MICRO E-MINI S&P 500 MONDAY WK4 O   ,X4A       ,X4A  ,9C/GN/O,Micro
GO,O, , ,CME MS&PMONW5 ,CME MICRO E-MINI S&P 500 MONDAY WK5 O   ,X5A       ,X5A  ,9C/GO/O,Micro
GP,O, , ,CME MS&PTUEW1 ,CME MICRO E-MINI S&P 500 TUESDAY WK1 O  ,X1B       ,X1B  ,9C/GP/O,Micro
GQ,O, , ,CME MS&PTUEW2 ,CME MICRO E-MINI S&P 500 TUESDAY WK2 O  ,X2B       ,X2B  ,9C/GQ/O,Micro
GR,O, , ,CME MS&PTUEW3 ,CME MICRO E-MINI S&P 500 TUESDAY WK3 O  ,X3B       ,X3B  ,9C/GR/O,Micro
GS,O, , ,CME MS&PTUEW4 ,CME MICRO E-MINI S&P 500 TUESDAY WK4 O  ,X4B       ,X4B  ,9C/GS/O,Micro
GT,O, , ,CME MS&PTUEW5 ,CME MICRO E-MINI S&P 500 TUESDAY WK5 O  ,X5B       ,X5B  ,9C/GT/O,Micro
GU,O, , ,CME MS&PWEDW1 ,CME MICRO E-MINI S&P 500 WEDNESDAY W1O  ,X1C       ,X1C  ,9C/GU/O,Micro
GV,O, , ,CME MS&PWEDW2 ,CME MICRO E-MINI S&P 500 WEDNESDAY W2O  ,X2C       ,X2C  ,9C/GV/O,Micro
GW,O, , ,CME MS&PWEDW3 ,CME MICRO E-MINI S&P 500 WEDNESDAY W3O  ,X3C       ,X3C  ,9C/GW/O,Micro
GX,O, , ,CME MS&PWEDW4 ,CME MICRO E-MINI S&P 500 WEDNESDAY W4O  ,X4C       ,X4C  ,9C/GX/O,Micro
GY,O, , ,CME MS&PWEDW5 ,CME MICRO E-MINI S&P 500 WEDNESDAY W5O  ,X5C       ,X5C  ,9C/GY/O,Micro
GZ,O, , ,CME MS&PTHUW1 ,CME MICRO E-MINI S&P 500 THURSDAY WK1O  ,X1D       ,X1D  ,9C/GZ/O,Micro
